,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
0,India,43072486,,523753,,42530622,,18111,698,30664,373,836945383,595826,1404680388,Asia
1,S. Korea,17194616,50551,22724,136,,,,526,334855,443,15804065,307775,51349433,Asia
2,Turkey,15028397,,98751,,14927975,,1671,975,174770,1148,158778055,1846480,85989599,Asia
3,Vietnam,10644700,6068,43038,1,9245528,3225,1356134,594,107597,435,85796776,867234,98931474,Asia
4,Japan,7813849,42313,29506,39,7356289,36932,428054,173,62127,235,48589480,386329,125772339,Asia
5,Iran,7221121,719,141072,14,6980483,2723,99566,1076,84017,1641,50914586,592388,85948099,Asia
6,Indonesia,6046467,395,156240,23,5882062,572,8165,2771,21689,560,95495775,342544,278783952,Asia
7,Malaysia,4443318,,35536,,4354006,,53776,84,134158,1073,58619511,1769904,33120156,Asia
8,Thailand,4238061,14053,28403,129,4053751,16782,155907,1496,60441,405,17270775,246308,70118531,Asia
9,Israel,4071491,,10695,,4033472,,27324,220,436574,1147,41373364,4436346,9326000,Asia
10,Philippines,3685403,184,60305,38,3616709,1339,8389,289,32837,537,29541239,263212,112233503,Asia
11,Iraq,2324982,135,25211,2,2297546,243,2225,21,55537,602,18474304,441299,41863426,Asia
12,Bangladesh,1952674,30,29127,,1895146,326,28401,1297,11646,174,13987528,83421,167673489,Asia
13,Jordan,1694216,,14048,,1678941,,1227,124,163104,1352,16670254,1604860,10387355,Asia
14,Georgia,1654945,148,16807,2,1636800,280,1338,,416313,4228,16885842,4247753,3975241,Asia
15,Pakistan,1528347,75,30371,,1494141,,3835,138,6683,133,28137765,123038,228690978,Asia
16,Kazakhstan,1305521,17,13660,,1291055,11,806,24,68048,712,11575012,603331,19185171,Asia
17,Hong Kong,1203847,366,9298,11,,,,115,158243,1222,44972952,5911579,7607604,Asia
18,Singapore,1193250,,1334,,1126448,2205,65468,6,201086,225,23712995,3996106,5934026,Asia
