,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,"Serious, Critical",Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Continent,Active Cases/1M pop,Date
0,USA,83170407,1021089.0,80757424.0,1391894.0,1550.0,248601.0,3052.0,1006269592.0,3007793.0,334554103.0,North America,4160.0,2022-05-03
1,India,43085166,523889.0,42541887.0,19390.0,698.0,30669.0,373.0,838628250.0,596961.0,1404828550.0,Asia,14.0,2022-05-03
2,Brazil,30460997,663657.0,29554308.0,243032.0,8318.0,141466.0,3082.0,63776166.0,296187.0,215324039.0,South America,1129.0,2022-05-03
3,France,28690748,146142.0,27163913.0,1380693.0,1511.0,437774.0,2230.0,269816888.0,4116967.0,65537780.0,Europe,21067.0,2022-05-03
4,Germany,24791190,135947.0,22658600.0,1996643.0,1446.0,294173.0,1613.0,122332384.0,1451601.0,84274119.0,Europe,23692.0,2022-05-03
5,UK,22038340,174912.0,21313159.0,550269.0,302.0,321547.0,2552.0,517337635.0,7548132.0,68538498.0,Europe,8029.0,2022-05-03
6,Russia,18201074,376292.0,17563272.0,261510.0,2300.0,124623.0,2576.0,273400000.0,1871975.0,146048952.0,Europe,1791.0,2022-05-03
7,S. Korea,17346753,23007.0,,,417.0,337815.0,448.0,15804065.0,307772.0,51349914.0,Asia,318486.0,2022-05-03
8,Italy,16523859,163736.0,15155021.0,1205102.0,368.0,274031.0,2715.0,214183728.0,3552018.0,60299169.0,Europe,19985.0,2022-05-03
9,Turkey,15034917,98791.0,14931490.0,4636.0,975.0,174826.0,1149.0,159230999.0,1851534.0,85999512.0,Asia,54.0,2022-05-03
10,Spain,11896152,104456.0,11389694.0,402002.0,339.0,254257.0,2233.0,471036328.0,10067479.0,46787912.0,Europe,8592.0,2022-05-03
11,Vietnam,10656649,43044.0,9265456.0,1348149.0,475.0,107707.0,435.0,85800783.0,867191.0,98941036.0,Asia,13626.0,2022-05-03
12,Argentina,9083673,128653.0,8895999.0,59021.0,372.0,197666.0,2800.0,35716069.0,777204.0,45954590.0,South America,1284.0,2022-05-03
13,Netherlands,8051301,22256.0,7875672.0,153373.0,70.0,467984.0,1294.0,21107399.0,1226872.0,17204241.0,Europe,8915.0,2022-05-03
14,Japan,7925130,29631.0,7517841.0,377658.0,160.0,63014.0,236.0,48945912.0,389176.0,125768126.0,Asia,3003.0,2022-05-03
15,Iran,7223005,141114.0,6989358.0,92533.0,1038.0,84028.0,1642.0,50914586.0,592307.0,85959848.0,Asia,1076.0,2022-05-03
16,Colombia,6092667,139797.0,5926476.0,26394.0,342.0,117449.0,2695.0,34465052.0,664384.0,51875179.0,South America,509.0,2022-05-03
17,Indonesia,6047208,156287.0,5883664.0,7257.0,2771.0,21689.0,561.0,95693154.0,343213.0,278815543.0,Asia,26.0,2022-05-03
18,Australia,6029879,7310.0,5658513.0,364056.0,143.0,231551.0,281.0,69540042.0,2670385.0,26041202.0,Australia/Oceania,13980.0,2022-05-03
19,Poland,5997825,116069.0,5334769.0,546987.0,1321.0,158795.0,3073.0,36116043.0,956190.0,37770774.0,Europe,14482.0,2022-05-03
20,Mexico,5740080,324350.0,5039624.0,376106.0,4798.0,43680.0,2468.0,15801675.0,120246.0,131411221.0,North America,2862.0,2022-05-03
21,Ukraine,5002870,108411.0,,,177.0,115665.0,2506.0,19521252.0,451326.0,43253122.0,Europe,19338.0,2022-05-03
22,Malaysia,4450859,35555.0,4378864.0,36440.0,66.0,134367.0,1073.0,58808233.0,1775360.0,33124688.0,Asia,1100.0,2022-05-03
23,Thailand,4281536,28781.0,4134191.0,118564.0,1496.0,61060.0,410.0,17270775.0,246302.0,70120440.0,Asia,1691.0,2022-05-03
24,Austria,4154244,18183.0,4063754.0,72307.0,80.0,456489.0,1998.0,183321889.0,20144324.0,9100424.0,Europe,7945.0,2022-05-03
